연번,지자체명,세부사업명,예산(백만원)
462,경북,청년근로자사랑채움사업,524.6
463,경북,글로벌섬유패션공급망역량강화사업(국가직접지원),400.0
464,경북,해외교류협력사업,40.0
465,경북,사회적가치우수유망기업성장지원,600.0
466,경북,섬유소재공정저탄소화지원사업(국가직접지원),500.0
467,경북,지역정보보호수준제고(국가직접지원),395.0
468,경북,소상공인출산장려아이보듬지원사업,1800.0
469,경북,자동차부품기업혁신동반성장지원사업,210.0
470,경북,경북산섬유수입전문바이어육성사업,150.0
471,경북,외식및푸드테크지원,1235.0
472,경북,헴프소재고부가제품개발,90.0
473,경북,에너지절약사업,713.799
474,경북,우수청년기업인증지원,100.0
475,경북,소상공인카드수수료지원,3000.0
476,경북,동물용그린바이오의약품품질고도화지원,455.0
477,경북,상권활성화사업(지특),2971.8
478,경북,해양수산창업투자지원,1300.0
479,대구,기타지역특성화산업육성(우수기업성장동력화사업)(1단계전환),3200.0
480,대구,기타지역특성화산업육성(중기업육성사업)(1단계전환),1920.0
481,대구,조달물품경쟁력강화지원사업,100.0
482,대구,중소기업경영안정자금지원,17918.142
483,대구,중소기업매출채권보험료지원,200.0
484,대구,중소기업제품판매지원,30.0
485,대구,지역산업마케팅지원(지역산업온라인마케팅지원사업)(1단계전환),200.0
486,대구,지역산업마케팅지원(중소기업해외마케팅지원)(1단계전환),2640.0
487,대구,소재부품기업경쟁력강화지원사업(1단계전환),239.0
488,대구,품질분임조활성화지원사업,48.0
489,대구,식품산업육성지원,770.0
490,대구,마을기업육성사업(구군),120.0
491,대구,협동조합육성사업,100.0
492,대구,글로컬대구침장특화산업육성(전환),540.0
493,대구,기타지역특성화산업육성(공동브랜드(쉬메릭)육성지원)(1단계전환),180.0
494,대구,지역패션산업마케팅및패션쇼개최지원사업,191.0
495,대구,섬유산업국내판로개척(1단계전환),560.0
496,대구,패션뷰인대구지원,380.0
497,대구,한국안경산업고도화육성사업,1000.0
498,대구,한국안광학산업진흥원사업보조,318.0
499,대구,초기기업SW제품상용화지원사업(1단계전환),130.0
500,대구,K-뷰티수출컨소시엄활성화지원(1단계전환),150.0
501,대구,직업능력개발및채용연계,1441.1
502,대구,고용환경개선,1810.0
503,대구,신기술사업화프로젝트,188.0
504,대구,대구스타벤처육성사업,200.0
505,대구,대구투자및상장(IPO)활성화지원,200.0
506,대구,소공인제품기술경쟁력향상지원사업,170.0
507,대구,차세대융복합기술개발지원,900.0
508,대구,지역의료기기토탈마케팅지원,213.0
509,대구,한국염색기술연구원운영위탁,100.0
